,Title,views,Thumbnail
89,Euler's formula with introductory group theory,1.9M views,https://i.ytimg.com/vi/mvmuCPvRoWQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGWyexU6WPMvpqxuNd8xVFMdgtOQ
90,Fractals are typically not self-similar,3.1M views,https://i.ytimg.com/vi/gB9n2gHsHN4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhnxx2LJtQeFZbP5ovaNnb0DUKjg
91,Tattoos on Math,719K views,https://i.ytimg.com/vi/IxNb1WG_Ido/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4RPnzz7q6NBGyq9RhEQ_jwBMJcg
92,Visualizing the Riemann zeta function and analytic continuation,3.7M views,https://i.ytimg.com/vi/sD0NjbwqlYw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtEVQuZLs67TgQgHRx2CwTkU31Ww
93,"Binary, Hanoi, and Sierpinski, part 2",243K views,https://i.ytimg.com/vi/bdMfjfT0lKk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfXt46LYa6AI2rMF2BjCfkOl_c4w
94,"Binary, Hanoi and Sierpinski, part 1",574K views,https://i.ytimg.com/vi/2SUvWfNJSsM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBauC8IVSJlMi6rx80BxCg6aVmmTQ
95,3blue1brown channel trailer,385K views,https://i.ytimg.com/vi/R7p-nPg8t_g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXlfSjJiXuHmEH6fpnHXCZMa1DLg
96,Who cares about topology? (Inscribed rectangle problem),2.5M views,https://i.ytimg.com/vi/AmgkSdhK4K8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKi8S0GCnlC5NgjQ4VN_vXQ0R82g
97,"Abstract vector spaces | Chapter 16, Essence of linear algebra",1M views,https://i.ytimg.com/vi/TgKwz5Ikpc8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-XUlNgENMyfsUP8pa4orGX-R3Cg
98,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",3.2M views,https://i.ytimg.com/vi/PFDu9oVAE-g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrj_RNyJZk3-SATcjV0k78CL65zA
